Region,States,12-08-2024,13-08-2024,14-08-2024,15-08-2024,16-08-2024,17-08-2024,18-08-2024
NR,Punjab,262.5,293.8,311.4,292.5,307.7,289.7,302.5
,Haryana,211.1,225.6,240.3,210.0,222.7,232.4,227.2
,Rajasthan,245.0,246.7,248.7,230.8,223.5,236.5,250.1
,Delhi,118.8,121.9,128.1,113.0,129.7,132.6,130.4
,UP,488.1,509.0,526.4,553.9,556.0,579.1,521.2
,Uttarakhand,48.1,50.1,50.8,43.9,49.1,53.0,49.9
,HP,33.4,35.2,36.4,29.3,34.1,35.1,32.6
,J&K,49.9,52.6,53.2,45.9,50.7,48.6,48.3
,Chandigarh,6.3,7.0,6.9,5.7,6.7,6.6,6.0
,Railways_NR ISTS,3.9,4.0,4.1,4.0,4.2,4.1,4.2
WR,Chhattisgarh,116.7,121.4,120.3,114.2,111.7,114.2,113.1
,Gujarat,391.5,394.4,399.1,386.9,409.8,419.4,408.6
,MP,229.1,237.5,245.4,229.5,238.5,249.0,250.0
,Maharashtra,518.0,539.6,552.7,498.5,532.3,546.8,529.9
,Goa,13.5,14.3,14.7,13.0,14.4,14.8,13.6
,DNHDDPDCL,29.3,30.4,30.2,22.3,25.3,28.7,28.6
,AMNSIL,18.1,18.0,18.4,18.1,18.1,17.9,18.6
,BALCO,12.5,12.5,12.5,12.4,12.5,12.5,12.5
SR,Andhra Pradesh,224.3,226.2,228.9,230.9,235.4,227.9,228.2
,Telangana,281.2,290.6,294.4,287.5,288.5,270.8,273.7
,Karnataka,230.5,234.8,234.7,211.1,229.8,212.7,193.8
,Kerala,82.3,82.9,81.0,78.5,83.2,82.4,75.5
,Tamil Nadu,332.1,349.3,354.9,313.4,345.8,348.5,329.2
,Pondy,10.2,10.7,10.5,9.0,9.3,10.7,10.4
ER,Bihar,143.4,148.7,145.7,149.1,153.8,162.2,141.3
,DVC,69.4,69.2,69.9,70.2,72.6,72.2,69.4
,Jharkhand,41.8,42.8,41.2,41.2,42.1,44.1,42.0
,Odisha,116.3,117.0,115.4,118.5,112.9,115.6,124.0
,West Bengal,215.0,221.5,221.9,209.6,217.8,222.5,197.3
,Sikkim,1.0,1.0,1.2,0.7,1.1,1.2,0.9
,Railways_ER ISTS,0.2,0.2,0.1,0.0,0.1,0.1,0.2
NER,Arunachal Pradesh,2.8,3.0,3.0,2.9,3.2,3.0,2.9
Assam,43.2,45.0,51.1,41.0,44.6,48.8,43.1,
Manipur,2.8,2.9,2.9,2.8,2.9,2.4,2.4,
Meghalaya,5.9,5.8,5.9,5.5,5.5,5.5,5.4,
Mizoram,1.7,1.8,1.9,1.8,1.8,1.8,1.8,
Nagaland,3.1,3.1,3.2,3.2,3.2,3.1,2.9,
Tripura,5.7,5.9,6.2,6.3,6.0,5.0,5.0,
