Region,States,28-10-2019,29-10-2019,30-10-2019,31-10-2019,01-11-2019,02-11-2019,03-11-2019
NR,Punjab,92.0,105.8,110.1,112.4,111.3,108.5,98.8
,Haryana,96.2,105.6,116.2,119.5,122.5,117.4,104.3
,Rajasthan,175.3,188.1,201.3,209.7,210.8,205.0,202.4
,Delhi,60.3,63.2,68.4,67.6,69.0,64.8,61.2
,UP,260.1,262.8,268.2,273.2,276.9,281.4,268.8
,Uttarakhand,24.6,27.7,30.9,31.9,33.3,33.2,30.3
,HP,17.0,21.5,25.2,26.4,27.1,26.7,24.9
,J&K,41.3,42.9,43.3,42.8,44.2,43.9,42.2
,Chandigarh,2.9,3.3,3.6,3.6,3.6,3.5,3.1
WR,Chhattisgarh,67.4,71.2,74.0,75.1,74.3,74.1,74.4
,Gujarat,215.2,229.6,234.9,261.5,282.1,278.5,261.9
,MP,154.6,156.5,166.0,175.0,180.7,184.0,181.7
,Maharashtra,305.6,320.1,350.4,360.6,362.2,360.6,357.5
,Goa,10.1,10.1,10.1,12.3,12.3,12.3,12.3
,DD,3.2,4.1,5.8,6.8,7.1,6.9,6.4
,DNH,11.4,14.0,15.3,17.0,17.2,17.2,17.2
,Essar steel,5.9,5.7,5.5,5.6,6.5,6.2,5.7
SR,Andhra Pradesh,152.8,156.7,149.8,148.7,153.8,155.2,157.5
,Telangana,144.5,145.3,145.8,148.6,150.8,150.5,147.6
,Karnataka,128.2,133.8,136.9,146.8,121.0,142.8,141.7
,Kerala,64.6,64.4,63.5,60.6,62.3,65.0,60.3
,Tamil Nadu,201.2,218.6,221.8,230.7,245.8,253.6,243.0
,Pondy,5.5,6.3,6.0,6.1,6.4,6.8,6.3
ER,Bihar,79.7,80.0,79.4,82.6,82.7,79.5,77.9
,DVC,59.1,60.3,61.5,61.3,61.2,60.7,60.4
,Jharkhand,24.3,23.6,22.7,23.8,24.4,23.9,23.6
,Odisha,76.6,77.4,80.1,78.3,83.3,84.1,84.0
,West Bengal,115.4,115.1,117.4,123.7,124.9,123.3,116.8
,Sikkim,0.7,0.7,0.9,1.1,1.2,1.2,1.1
NER,Arunachal Pradesh,2.2,2.0,2.0,1.8,2.1,2.1,1.9
Assam,21.5,24.3,25.3,26.5,25.9,25.2,24.5,
Manipur,2.5,2.4,2.5,2.4,2.4,2.5,2.6,
Meghalaya,5.5,5.7,5.8,6.0,5.8,5.8,5.9,
Mizoram,1.7,1.7,1.8,1.7,1.6,1.9,1.7,
Nagaland,2.4,2.0,2.0,2.0,2.3,2.1,2.3,
Tripura,4.2,4.2,4.0,3.8,4.1,4.1,4.1,
