Region,States,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020
NR,Punjab,95.3,96.5,102.4,103.9,105.6,105.7,86.3
,Haryana,105.7,111.5,115.1,116.2,117.4,115.1,93.0
,Rajasthan,205.6,213.6,215.2,216.8,210.3,202.4,178.7
,Delhi,59.2,60.2,60.7,60.6,63.4,59.1,46.1
,UP,232.8,240.9,249.9,256.7,263.0,255.7,240.8
,Uttarakhand,33.2,33.8,34.0,33.7,34.4,33.4,22.5
,HP,24.6,24.1,24.7,24.7,21.5,21.1,13.0
,J&K,42.6,43.1,46.0,44.8,47.3,47.7,45.6
,Chandigarh,3.3,3.2,3.2,3.1,3.1,2.8,2.4
WR,Chhattisgarh,85.1,89.8,89.1,83.7,83.6,84.4,81.6
,Gujarat,338.0,349.9,355.9,364.5,362.3,357.9,282.4
,MP,202.7,205.4,203.4,200.5,195.1,191.5,182.1
,Maharashtra,490.5,499.3,479.6,479.0,478.2,468.2,395.6
,Goa,10.4,11.1,10.9,10.6,10.5,9.9,7.4
,DD,7.1,7.4,7.4,7.4,7.5,7.4,3.6
,DNH,18.7,18.9,19.0,19.1,18.9,18.9,13.5
,Essar steel,3.7,5.1,4.5,6.5,5.3,5.2,4.4
SR,Andhra Pradesh,201.2,205.1,204.3,201.3,198.5,192.9,176.7
,Telangana,241.2,247.4,256.2,247.4,236.7,236.8,219.7
,Karnataka,255.6,256.9,256.0,258.6,251.1,244.8,226.4
,Kerala,83.0,84.5,84.7,85.3,84.5,81.7,69.9
,Tamil Nadu,337.6,346.2,347.2,345.6,348.3,339.8,276.5
,Pondy,8.0,8.3,8.3,8.3,8.5,8.3,6.1
ER,Bihar,71.7,72.0,73.4,74.1,75.2,68.6,68.2
,DVC,63.6,63.3,63.5,63.1,62.9,61.7,57.5
,Jharkhand,23.7,24.5,24.4,23.9,22.9,23.3,21.5
,Odisha,79.4,79.6,80.3,69.3,64.8,71.6,66.5
,West Bengal,129.0,142.0,142.2,141.3,140.2,135.2,100.4
,Sikkim,1.4,1.4,1.4,1.4,1.3,1.4,1.0
NER,Arunachal Pradesh,2.1,2.0,2.2,2.2,2.3,2.2,2.1
Assam,23.4,23.9,23.7,24.2,24.2,24.0,19.0,
Manipur,2.3,2.6,2.9,2.9,2.9,2.7,2.4,
Meghalaya,5.4,5.4,5.4,5.2,5.8,5.8,5.6,
Mizoram,1.6,1.7,1.8,1.8,1.8,1.8,1.6,
Nagaland,2.1,2.2,2.2,2.1,2.1,2.2,2.2,
Tripura,3.9,3.8,3.8,3.8,3.9,3.8,3.1,
