Region,States,23-09-2019,24-09-2019,25-09-2019,26-09-2019,27-09-2019,28-09-2019,29-09-2019
NR,Punjab,213.9,220.3,222.9,219.3,197.7,165.1,122.6
,Haryana,179.6,186.1,185.6,184.2,179.5,169.3,143.0
,Rajasthan,225.8,228.5,225.0,226.6,222.0,210.8,197.9
,Delhi,98.5,99.3,102.4,102.6,100.9,94.6,84.7
,UP,326.9,328.4,335.1,301.8,276.3,261.3,244.4
,Uttarakhand,38.3,39.7,40.4,39.9,38.8,36.5,33.0
,HP,29.2,29.8,30.7,29.4,28.7,27.3,24.5
,J&K,41.0,39.8,39.8,41.3,39.5,30.1,34.5
,Chandigarh,5.0,5.3,5.3,5.2,4.7,4.3,3.4
WR,Chhattisgarh,103.5,98.6,86.6,84.2,81.3,80.8,76.2
,Gujarat,317.2,320.5,312.7,306.6,289.4,279.2,257.9
,MP,164.0,163.5,166.5,162.9,162.4,152.4,154.1
,Maharashtra,409.6,403.0,391.5,385.4,379.7,385.6,380.7
,Goa,11.0,11.0,12.2,11.9,11.9,11.9,11.3
,DD,7.1,7.5,6.6,7.4,7.5,7.4,6.8
,DNH,18.4,18.6,18.5,18.5,18.4,18.4,18.1
,Essar steel,5.3,5.8,5.6,7.2,7.6,7.2,6.1
SR,Andhra Pradesh,158.1,153.1,153.9,147.7,149.7,154.2,160.0
,Telangana,179.5,169.4,153.7,154.1,148.7,160.2,166.3
,Karnataka,177.3,158.3,159.2,154.8,164.7,163.0,156.0
,Kerala,71.4,70.2,68.8,68.1,70.2,71.3,65.1
,Tamil Nadu,280.4,282.4,282.3,280.9,293.5,291.6,274.7
,Pondy,7.6,7.5,7.3,7.4,7.7,7.8,7.3
ER,Bihar,98.1,98.1,89.0,69.5,70.4,53.0,43.5
,DVC,62.7,61.0,60.0,59.7,59.1,57.8,57.5
,Jharkhand,26.6,24.1,22.4,21.8,22.1,20.1,19.0
,Odisha,89.7,95.0,89.4,87.6,84.1,83.2,78.9
,West Bengal,166.7,153.1,139.1,142.8,140.9,133.4,122.6
,Sikkim,1.0,0.9,1.0,1.0,1.0,1.2,1.2
NER,Arunachal Pradesh,2.0,2.0,2.1,1.4,1.9,2.3,2.2
Assam,27.2,24.7,25.7,28.8,29.6,29.4,26.5,
Manipur,2.5,2.3,2.3,2.4,2.3,2.4,2.2,
Meghalaya,5.8,5.7,6.1,6.4,6.1,6.1,6.1,
Mizoram,1.6,1.6,1.6,1.6,1.7,1.4,1.6,
Nagaland,2.0,2.0,2.0,2.1,2.1,2.2,2.4,
Tripura,4.7,4.2,4.3,4.5,4.4,4.7,4.1,
