Region,States,04-11-2019,05-11-2019,06-11-2019,07-11-2019,08-11-2019,09-11-2019,10-11-2019
NR,Punjab,106.4,106.4,106.7,95.3,99.0,101.7,94.2
,Haryana,115.6,118.0,119.6,112.8,114.7,114.3,102.6
,Rajasthan,212.7,215.9,218.6,207.9,210.7,215.6,211.3
,Delhi,66.3,66.4,67.6,65.5,64.9,61.4,59.6
,UP,274.4,270.5,272.9,265.5,265.7,270.7,260.4
,Uttarakhand,32.6,34.4,34.2,34.8,34.0,34.5,31.5
,HP,26.4,27.2,27.9,26.5,27.2,27.4,25.9
,J&K,43.6,43.3,40.1,17.8,18.9,24.5,31.3
,Chandigarh,3.5,3.5,3.5,3.5,3.4,3.3,3.0
WR,Chhattisgarh,75.7,75.0,75.9,74.8,73.8,70.9,72.5
,Gujarat,284.8,289.3,293.8,285.2,285.4,292.8,287.8
,MP,189.7,196.9,203.4,199.3,196.2,202.3,204.4
,Maharashtra,388.4,395.1,400.2,397.7,387.1,389.0,378.3
,Goa,12.1,12.7,12.7,12.7,12.6,12.2,12.2
,DD,6.7,7.2,7.4,7.2,7.4,7.3,6.6
,DNH,17.7,17.6,18.0,18.1,17.9,17.9,17.5
,Essar steel,6.0,6.7,6.3,7.0,7.5,5.7,5.2
SR,Andhra Pradesh,164.0,167.9,173.5,173.5,171.0,164.9,165.1
,Telangana,156.4,159.5,162.4,159.2,161.8,157.3,155.8
,Karnataka,159.9,165.2,171.6,171.4,168.5,166.9,155.8
,Kerala,66.9,69.4,71.0,70.7,71.5,69.6,62.4
,Tamil Nadu,264.6,283.1,295.3,295.0,289.9,281.2,262.4
,Pondy,6.9,7.1,7.0,7.2,7.6,7.6,7.0
ER,Bihar,79.4,75.1,74.0,74.4,74.6,75.7,75.8
,DVC,60.7,61.1,61.4,60.7,62.1,62.3,62.7
,Jharkhand,23.6,24.0,24.0,23.7,23.9,23.4,23.4
,Odisha,78.9,75.9,74.4,71.2,66.3,60.4,72.0
,West Bengal,125.0,128.1,125.3,118.6,117.2,99.6,91.1
,Sikkim,1.0,1.2,1.3,1.1,1.3,1.3,1.0
NER,Arunachal Pradesh,2.1,2.0,2.2,2.0,2.1,2.0,2.0
Assam,24.3,25.4,24.5,24.9,24.8,24.2,22.5,
Manipur,2.5,2.6,2.5,2.5,2.4,2.3,2.3,
Meghalaya,5.8,5.8,6.0,5.7,6.0,6.4,6.3,
Mizoram,1.6,1.6,1.7,1.7,2.0,2.1,1.6,
Nagaland,2.3,2.3,2.1,2.0,2.2,2.2,2.0,
Tripura,4.1,4.0,4.1,4.2,3.8,3.4,2.8,
