Region,States,03-06-2024,04-06-2024,05-06-2024,06-06-2024,07-06-2024,08-06-2024,09-06-2024
NR,Punjab,244.3,249.1,230.5,192.2,236.8,252.7,246.3
,Haryana,248.9,252.0,248.7,216.5,233.4,247.7,229.4
,Rajasthan,351.0,364.9,367.2,359.0,339.3,326.2,341.2
,Delhi,155.3,156.2,159.0,146.8,147.4,143.0,136.7
,UP,625.0,610.1,616.0,526.4,598.5,616.0,610.8
,Uttarakhand,57.2,58.9,45.3,54.1,58.0,58.8,54.5
,HP,36.9,38.0,36.4,35.5,38.9,39.3,37.2
,J&K,50.0,51.1,47.8,48.7,51.7,53.9,55.9
,Chandigarh,8.2,8.1,7.4,7.1,7.6,7.1,6.6
,Railways_NR ISTS,4.4,3.9,4.4,4.3,4.3,4.3,4.1
WR,Chhattisgarh,115.0,118.0,110.7,117.2,116.8,112.3,112.4
,Gujarat,496.7,501.2,495.1,502.5,514.2,505.0,482.5
,MP,290.4,286.8,280.3,293.8,287.8,272.7,275.8
,Maharashtra,627.7,619.2,602.2,606.0,579.7,565.3,520.5
,Goa,14.7,16.2,16.5,16.2,15.2,14.2,12.6
,DNHDDPDCL,30.2,30.9,32.1,27.5,30.6,30.7,29.9
,AMNSIL,17.4,16.1,17.2,17.1,17.7,18.3,18.0
,BALCO,12.5,12.5,12.5,12.5,12.5,12.5,12.5
SR,Andhra Pradesh,205.2,221.0,207.9,195.4,199.9,191.2,193.0
,Telangana,188.7,198.8,194.4,190.3,189.0,185.7,177.9
,Karnataka,217.3,228.1,221.6,206.8,195.4,184.4,164.7
,Kerala,84.1,88.2,88.2,87.6,84.3,81.8,73.8
,Tamil Nadu,355.6,385.8,368.9,343.6,338.3,330.2,305.2
,Pondy,10.5,10.8,10.8,9.8,9.5,10.0,9.6
ER,Bihar,147.1,144.5,148.9,128.9,151.7,157.5,160.3
,DVC,73.6,73.3,73.4,73.6,76.9,76.2,75.6
,Jharkhand,43.3,44.3,44.4,45.2,47.1,49.0,49.6
,Odisha,122.2,134.8,146.0,146.9,135.6,133.0,139.7
,West Bengal,225.4,228.1,224.6,241.0,244.7,247.5,247.3
,Sikkim,1.3,1.3,1.4,1.5,1.7,1.3,1.0
,Railways_ER ISTS,0.1,0.2,0.2,0.1,0.1,0.1,0.2
NER,Arunachal Pradesh,2.2,2.6,2.7,2.6,2.6,2.6,3.0
Assam,32.7,34.2,38.4,42.9,44.2,42.4,41.2,
Manipur,2.8,3.0,3.2,3.0,3.1,3.0,2.7,
Meghalaya,4.9,5.1,5.4,5.6,5.8,6.4,5.5,
Mizoram,1.8,1.7,2.1,1.7,1.7,2.0,1.7,
Nagaland,2.6,2.8,2.8,2.7,3.0,2.8,2.8,
Tripura,5.4,5.3,4.7,5.4,5.0,5.2,5.2,
