,Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,DNH,DVC,Delhi,Essar steel,Goa,Gujarat,HP,Haryana,J&K,Jharkhand,Karnataka,Kerala,MP,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
0,2022-04-04,220.8,2.2,23.8,114.4,4.5,123.3,7.5,18.4,77.4,94.5,17.1,14.6,424.5,31.7,139.2,46.5,33.9,271.5,85.0,257.8,611.1,2.6,5.1,1.7,2.2,108.5,149.5,249.4,1.7,363.1,265.7,,397.5,39.8,178.1,4393.700000000001
1,2022-04-05,218.7,2.3,26.3,110.1,4.6,125.8,7.9,19.6,79.5,95.7,15.5,14.4,430.6,31.2,141.7,46.8,34.7,270.9,86.0,262.7,623.3,2.7,5.8,1.7,2.4,109.3,142.2,253.7,1.8,367.1,266.0,,395.7,40.6,185.0,4431.5
2,2022-04-06,205.9,2.4,26.8,112.7,4.6,123.4,8.0,20.2,80.3,97.9,16.2,14.1,428.3,32.0,138.7,46.8,34.1,271.3,80.4,263.8,615.4,2.6,6.2,1.8,2.2,113.5,147.1,254.3,1.8,367.6,265.7,,405.1,37.5,185.3,4423.3
3,2022-04-07,213.1,2.4,27.8,119.2,4.6,122.7,8.0,19.2,76.7,99.4,15.6,14.5,436.2,32.7,145.0,46.3,33.2,277.4,81.2,257.9,611.3,2.6,6.5,1.7,2.2,112.7,161.3,249.6,1.6,372.7,267.1,,407.8,38.8,188.2,4466.5
4,2022-04-08,217.1,2.4,27.9,118.9,4.7,124.8,8.2,20.3,80.3,101.9,15.4,14.4,445.0,32.7,149.0,50.9,34.0,282.9,79.0,256.9,612.0,2.5,6.4,1.8,2.2,115.0,160.0,260.1,1.3,372.7,265.0,,412.5,40.9,186.6,4515.1
5,2022-04-09,211.8,2.3,26.1,116.7,4.6,122.2,8.2,20.5,76.8,100.7,16.8,14.9,443.3,32.8,146.6,48.6,33.8,271.5,73.5,263.7,611.9,2.8,6.3,1.8,2.2,120.3,158.9,262.9,1.0,360.1,253.0,,416.9,41.6,186.9,4471.3
6,2022-04-10,207.4,2.3,22.9,110.0,4.3,120.2,7.4,20.1,75.4,98.5,17.1,13.2,419.0,29.4,138.2,51.8,29.8,250.1,69.8,269.9,590.0,2.5,5.5,1.8,2.3,125.5,147.2,256.4,1.0,320.3,254.4,,407.2,39.0,178.2,4296.2
7,2018-01-08,162.2,2.3,22.8,71.5,3.7,73.3,7.0,17.3,69.2,68.6,8.7,9.2,296.2,26.6,123.3,46.7,24.8,202.6,64.2,225.2,405.2,2.8,6.7,1.8,2.0,68.5,105.4,209.3,1.6,288.9,177.8,,305.3,38.3,103.3,3248.3
8,2018-01-09,165.2,2.2,23.6,73.9,3.8,73.4,7.2,17.6,70.8,68.9,9.9,9.2,299.4,27.6,128.5,47.1,24.5,204.7,64.7,227.1,409.3,2.7,6.4,1.8,2.1,67.7,108.2,211.5,1.6,292.5,179.7,,310.5,39.2,111.5,3300.2999999999997
9,2018-01-10,165.6,2.2,23.8,74.7,3.8,73.6,7.3,17.4,69.0,69.3,8.8,9.2,302.2,27.9,129.9,45.5,24.6,206.6,66.2,227.0,413.4,2.7,6.5,1.9,2.0,70.2,108.7,216.9,1.8,279.8,180.7,,309.9,39.9,113.2,3308.7
10,2018-01-11,167.3,2.3,22.7,74.6,3.8,73.0,7.3,17.8,69.7,68.5,9.4,8.4,303.6,28.1,127.1,46.7,22.8,211.5,68.0,225.4,416.0,2.8,6.0,1.8,2.2,77.6,105.6,217.5,1.7,277.7,180.1,,307.9,39.8,112.5,3313.9
11,2018-01-12,172.6,2.3,24.0,73.4,3.7,74.4,7.4,17.7,70.7,69.3,10.8,8.4,307.9,28.3,125.3,46.4,22.8,213.5,68.9,227.7,415.7,2.7,6.4,1.8,2.2,77.8,105.9,219.7,1.8,292.4,180.6,,309.2,39.8,113.9,3351.8999999999996
12,2018-01-13,170.0,2.3,23.9,74.0,3.5,78.1,7.5,17.2,70.5,63.5,9.7,10.1,303.8,27.8,126.4,47.4,22.8,210.0,68.8,225.7,420.8,2.6,6.4,1.8,2.2,79.8,102.5,213.0,1.6,284.2,183.6,,310.6,38.9,112.7,3330.3999999999996
13,2018-01-14,166.9,2.3,22.2,80.9,3.2,72.2,6.3,16.7,69.7,61.7,10.1,8.3,244.4,25.5,116.2,45.2,24.3,196.9,61.8,220.5,410.9,2.6,6.4,1.8,2.1,77.3,94.0,206.2,1.0,239.9,171.7,,301.5,36.9,104.5,3117.8
14,2020-02-10,180.7,2.2,22.1,77.5,3.9,73.7,7.0,17.1,65.9,68.5,5.5,9.5,329.0,28.0,131.9,50.4,25.9,231.5,73.8,267.4,457.1,2.5,6.6,1.6,2.3,80.6,130.1,243.3,1.9,304.3,192.4,,290.4,37.5,119.7,3549.2999999999997
15,2020-02-11,184.5,2.2,22.6,77.6,4.0,73.7,7.4,18.5,66.5,69.5,10.6,11.2,343.5,29.2,136.6,53.0,25.2,233.9,75.1,269.9,471.1,2.7,6.7,1.6,2.3,80.0,129.2,248.1,1.9,310.0,210.8,,295.5,38.7,120.9,3641.6
16,2020-02-12,186.4,2.2,22.7,77.1,3.9,78.7,7.3,18.7,66.3,68.8,10.2,11.9,341.0,28.8,137.8,51.8,24.9,237.7,76.0,271.4,476.8,3.0,6.6,1.8,2.2,77.8,134.2,249.0,1.8,311.9,216.8,,288.0,38.6,123.3,3663.1
17,2020-02-13,187.8,2.3,23.1,76.1,3.8,80.9,7.4,18.7,65.8,66.8,10.3,12.0,348.6,27.1,136.9,46.4,24.6,240.9,78.2,271.8,475.8,2.9,6.6,1.8,2.3,78.5,131.3,249.0,1.9,315.1,223.0,,282.1,37.6,122.5,3667.6
18,2020-02-14,189.0,2.2,23.6,75.6,3.7,82.6,7.4,18.5,63.4,66.8,10.8,11.3,348.7,27.2,136.8,48.3,23.0,244.6,77.6,271.4,474.7,2.7,6.7,1.6,2.2,73.6,131.4,248.1,2.0,324.0,225.7,,273.9,37.2,121.7,3665.8
19,2020-02-15,189.7,2.3,22.8,74.8,3.5,83.8,7.3,18.4,64.3,62.6,10.7,9.9,347.0,26.6,136.2,48.1,23.5,242.0,78.5,269.4,474.5,2.7,6.6,1.6,2.3,71.2,132.6,249.3,2.0,307.8,236.2,,278.7,36.7,120.6,3651.7999999999993
20,2020-02-16,189.7,2.2,21.4,77.4,3.2,83.8,6.8,18.0,64.2,61.1,11.3,9.3,335.0,25.2,129.1,48.8,23.5,225.3,71.9,265.3,461.2,2.8,6.5,1.6,2.3,71.1,126.9,245.5,1.7,296.6,235.6,,286.6,34.3,115.9,3567.9000000000005
21,2023-11-06,207.4,2.7,27.1,91.1,3.5,94.0,,,70.9,77.3,,14.5,436.0,32.7,139.7,51.7,29.8,233.2,78.4,323.9,594.2,2.6,6.5,1.9,2.4,104.8,135.2,315.8,1.3,301.8,210.2,4.4,331.5,38.6,153.7,4191.1
22,2023-11-07,206.8,2.4,29.0,88.3,3.6,92.5,,,69.9,77.9,,14.4,435.4,33.3,143.3,52.7,29.5,220.2,80.7,328.8,599.1,2.5,6.3,1.8,2.2,104.3,136.4,324.0,1.3,304.8,204.2,4.4,335.7,39.6,151.9,4201.0
23,2023-11-08,207.1,2.5,29.9,86.9,3.6,91.1,,,68.9,77.9,,13.0,431.3,34.7,143.6,52.9,30.1,223.2,79.5,331.1,603.6,2.5,6.6,1.8,2.3,111.0,139.3,320.2,1.3,302.6,198.6,4.2,334.3,39.8,149.6,4199.400000000001
24,2023-11-09,202.8,2.6,29.6,86.0,3.6,93.0,,,67.1,77.7,,14.0,432.6,35.0,142.1,49.7,30.0,206.1,78.7,333.3,595.8,2.7,6.4,1.9,2.3,109.9,137.4,313.8,1.4,301.6,202.3,4.2,333.8,39.9,150.0,4159.800000000001
25,2023-11-10,204.5,2.8,29.4,90.3,3.6,93.6,,,70.5,75.8,,14.2,420.0,34.4,132.8,46.2,30.7,210.4,78.3,335.9,584.3,2.7,6.2,1.9,2.3,101.8,126.7,304.3,1.4,299.7,208.4,4.2,335.3,40.7,149.9,4116.099999999999
26,2023-11-11,202.2,2.7,29.6,88.9,3.2,91.7,,,71.0,68.6,,13.9,364.0,30.7,120.8,53.3,30.3,205.6,79.2,332.4,566.3,2.7,6.3,1.9,2.3,97.3,123.2,291.8,1.3,265.0,204.8,4.2,328.0,36.1,147.1,3939.0
27,2023-11-12,198.0,2.7,26.9,90.5,3.0,86.1,,,70.7,59.6,,11.2,299.5,23.3,95.7,53.0,32.7,195.9,72.5,317.2,511.5,2.7,5.9,1.8,2.3,98.2,95.6,270.8,1.1,212.3,198.9,4.3,316.8,28.6,132.6,3581.8999999999996
28,2018-08-13,158.0,2.2,30.5,90.1,5.3,83.6,7.5,18.3,65.2,114.9,9.3,9.4,356.2,23.8,185.5,36.9,24.4,158.8,60.4,184.9,435.5,2.3,5.6,1.4,2.3,102.3,224.7,238.4,1.1,294.1,168.2,,350.5,34.4,168.4,3661.7
29,2018-08-14,158.4,2.2,34.6,95.3,5.6,86.4,7.5,18.4,65.0,117.3,9.8,9.4,365.2,26.5,193.0,37.3,24.1,164.5,56.6,188.3,446.2,2.3,5.4,1.4,2.3,95.6,243.8,242.2,1.2,282.5,179.8,,360.2,38.2,176.1,3750.099999999999
30,2018-08-15,150.7,2.2,31.0,94.8,5.0,84.0,5.0,14.9,65.0,102.7,9.7,8.3,344.7,23.0,177.4,39.6,23.4,147.6,47.9,178.7,397.0,2.4,5.1,1.4,2.1,92.2,215.9,238.7,1.5,254.2,175.8,,364.7,33.9,159.1,3505.8
31,2018-08-16,149.8,2.1,31.9,91.6,5.8,81.4,6.4,16.7,64.5,116.6,10.6,9.0,361.9,28.3,191.4,40.7,21.7,146.7,38.9,170.8,377.1,2.3,4.8,1.4,2.2,97.8,233.5,231.1,1.0,272.1,157.0,,354.1,40.0,165.4,3532.7999999999997
32,2018-08-17,158.3,2.3,34.0,98.0,5.3,88.1,7.5,17.7,67.6,121.0,10.2,9.0,301.9,29.5,198.2,34.6,23.3,155.2,42.1,177.4,368.4,2.1,5.6,1.4,2.2,109.5,238.0,231.5,1.2,294.6,168.5,,385.3,42.4,180.9,3619.9
33,2018-08-18,161.6,2.3,35.0,95.9,5.2,88.2,7.7,17.9,67.9,117.9,12.4,9.0,284.1,29.0,192.4,36.4,25.3,161.0,44.5,179.9,387.7,2.3,5.4,1.5,2.3,106.1,224.9,226.2,1.1,289.6,177.3,,393.5,41.7,185.0,3625.7999999999993
34,2018-08-19,158.2,2.3,35.6,99.4,5.0,82.9,7.1,17.9,67.9,108.0,11.0,9.0,280.8,26.2,178.3,40.5,24.8,157.5,45.1,175.7,382.2,2.1,4.9,1.4,2.3,94.3,220.7,217.2,0.8,284.4,163.2,,382.5,39.8,170.9,3507.1
35,2020-11-02,185.3,2.0,28.7,82.4,3.0,75.5,7.2,18.1,63.1,63.4,17.0,10.1,349.4,29.1,123.0,46.8,27.0,184.1,73.2,266.3,428.0,2.7,6.1,1.5,2.5,90.3,107.4,241.3,1.4,317.3,153.0,,271.5,34.9,146.1,3466.5
36,2020-11-03,190.9,2.0,29.4,74.2,3.0,75.1,7.6,18.3,64.1,64.7,16.2,10.3,352.4,29.3,124.6,42.9,25.6,187.2,73.1,268.4,436.6,2.8,6.1,1.7,2.5,89.1,107.4,246.6,1.4,328.4,153.1,,270.0,35.9,142.9,3491.6
37,2020-11-04,183.8,1.9,27.5,69.8,3.0,73.4,7.7,18.1,63.5,64.7,16.8,10.6,350.3,29.8,122.7,48.3,24.9,191.5,72.6,270.8,435.1,2.8,5.8,1.7,2.5,90.5,107.3,244.8,1.4,326.7,149.5,,269.6,35.6,126.2,3459.1
38,2020-11-05,185.8,1.9,26.3,70.6,3.0,71.9,9.0,18.1,61.5,62.8,17.3,10.0,356.6,28.9,121.9,42.7,24.0,192.4,71.4,271.3,431.7,2.5,6.0,1.7,2.3,83.6,109.2,245.2,1.4,301.7,149.2,,264.8,34.0,119.0,3407.6000000000004
39,2020-11-06,179.0,2.1,26.0,68.8,3.0,72.7,8.9,18.0,63.4,65.0,17.1,10.1,360.7,29.2,123.4,43.7,24.2,185.9,71.4,276.1,431.1,2.7,6.0,1.7,2.5,88.0,112.1,248.4,1.5,294.6,150.1,,283.9,35.9,116.9,3432.100000000001
40,2020-11-07,174.2,2.1,25.7,68.7,3.0,71.7,7.6,18.0,63.3,61.6,18.0,10.1,357.0,28.6,122.4,47.2,24.1,186.4,73.1,276.6,435.8,2.9,5.9,1.7,2.4,96.5,111.7,248.5,1.5,296.2,147.3,,279.2,35.0,111.7,3423.7
41,2020-11-08,169.2,2.0,23.9,70.6,2.7,71.2,6.8,17.3,62.5,59.8,17.3,9.5,345.3,26.7,113.6,48.2,24.6,172.9,66.7,277.4,428.9,2.6,5.6,1.6,2.2,80.4,106.8,247.8,1.3,269.7,137.1,,277.1,33.9,105.2,3295.3999999999996
42,2016-09-05,147.4,2.0,27.5,71.5,6.0,79.1,6.0,16.3,60.9,100.1,9.8,6.5,275.8,26.2,160.1,35.8,20.6,170.7,63.6,143.3,369.4,1.8,4.9,1.1,2.0,70.6,210.2,173.3,1.1,257.8,154.2,,319.2,37.4,138.7,3176.7
43,2016-09-06,154.9,2.2,30.0,66.3,6.1,80.8,6.7,16.7,58.2,99.5,10.7,6.5,286.6,26.7,168.0,37.8,21.0,190.0,65.6,149.0,410.9,2.0,4.6,1.2,1.8,71.4,215.5,184.6,1.1,285.4,163.8,,324.7,35.0,134.1,3325.9999999999995
44,2016-09-07,160.8,2.0,29.3,67.0,6.1,83.0,7.0,17.0,58.8,100.9,11.0,7.7,289.4,26.9,174.4,37.3,24.0,197.4,65.6,155.7,425.6,2.0,4.4,1.2,1.9,72.3,230.7,188.5,1.1,296.7,169.9,,326.1,39.8,132.7,3421.0999999999995
45,2016-09-08,167.4,1.9,29.8,67.3,6.0,83.4,7.0,17.3,61.5,102.3,9.8,8.4,305.5,28.4,179.1,38.2,20.9,203.5,65.4,160.5,441.6,1.9,5.6,1.2,1.6,74.0,229.4,193.0,1.3,300.6,173.3,,329.6,40.7,144.0,3508.4
46,2016-09-09,169.9,2.0,31.0,71.8,5.9,78.8,6.9,17.2,62.1,104.9,10.8,8.3,313.4,27.5,180.3,36.8,21.3,192.5,65.8,164.0,443.8,1.9,4.7,1.3,1.7,72.3,231.8,203.1,1.2,303.8,173.8,,329.8,40.4,147.0,3535.0000000000005
47,2016-09-10,160.8,2.0,29.8,68.1,5.7,75.3,6.6,17.2,61.9,99.8,11.0,8.8,319.0,27.7,183.3,35.9,22.5,203.4,65.8,169.4,445.1,2.0,4.9,1.3,2.0,73.9,227.8,203.8,1.2,302.9,161.2,,334.0,45.8,148.9,3535.7000000000003
48,2016-09-11,150.0,1.9,29.1,68.8,5.2,73.3,6.8,17.0,62.0,95.6,12.2,8.1,311.5,25.0,177.7,35.2,21.7,194.6,62.0,171.4,416.4,1.9,5.0,1.2,2.0,73.9,216.6,203.4,1.0,275.9,141.5,,335.8,38.3,142.6,3390.9000000000005
49,2018-04-16,183.5,2.1,24.2,85.5,3.9,83.7,7.1,17.6,73.5,87.8,5.9,12.3,348.5,22.6,114.4,41.5,25.0,211.5,73.8,187.3,492.6,2.0,4.5,1.5,2.0,84.6,112.7,184.9,1.4,332.2,173.5,,311.1,33.7,166.1,3522.4999999999995
50,2018-04-17,185.1,2.2,23.2,82.6,4.1,86.0,7.2,17.6,74.1,90.2,4.8,12.1,353.1,25.0,120.6,41.6,22.4,215.7,74.9,189.8,496.3,2.0,4.8,1.6,2.0,82.2,115.6,185.3,1.4,343.2,181.0,,325.9,36.3,164.8,3582.8
51,2018-04-18,184.6,2.0,22.2,78.1,4.2,86.4,7.3,17.6,71.9,91.8,3.9,11.8,350.0,26.0,123.2,45.0,22.9,220.1,77.7,191.2,491.6,1.9,4.3,1.5,2.0,82.5,120.3,192.0,1.4,346.8,181.6,,310.9,35.5,150.7,3568.8
52,2018-04-19,184.0,2.1,21.2,80.5,4.3,88.6,7.3,17.3,71.1,95.0,3.9,12.0,350.6,24.9,127.8,44.5,23.3,221.4,77.8,190.4,504.7,1.6,5.1,1.4,2.0,87.6,124.7,198.8,1.4,351.0,181.9,,327.9,37.0,166.1,3647.1
53,2018-04-20,183.0,2.2,21.0,88.1,4.2,88.4,7.3,17.1,72.6,94.9,2.6,12.0,351.6,22.8,114.9,37.9,24.1,208.3,77.8,188.0,496.6,1.9,5.3,1.4,2.1,86.8,105.4,183.7,1.3,350.5,180.5,,326.4,36.3,167.9,3573.1000000000004
54,2018-04-21,185.0,2.1,19.3,89.4,3.9,88.5,7.4,17.7,68.6,88.3,2.8,12.0,348.9,24.0,125.4,40.6,22.7,212.9,77.6,190.3,498.0,2.1,4.9,1.3,1.9,85.5,109.5,194.6,1.2,339.4,176.2,,333.7,37.1,168.6,3589.7
55,2018-04-22,181.0,2.1,21.3,87.2,3.4,89.2,7.0,17.2,71.9,79.5,2.9,12.0,330.4,22.6,115.1,37.7,23.5,195.1,70.4,187.6,487.1,2.2,4.8,1.4,1.9,89.5,107.7,187.7,1.0,324.0,168.4,,312.2,34.8,151.4,3438.8
56,2020-07-27,160.6,1.9,30.4,115.1,6.5,104.6,5.0,14.3,62.8,112.7,17.5,8.6,308.3,23.3,202.1,44.2,26.6,156.9,65.4,231.4,376.6,2.7,5.2,1.5,2.4,88.4,278.4,250.7,1.1,272.2,209.4,,469.1,41.1,174.1,3878.8
57,2020-07-28,167.2,2.1,32.1,99.4,6.6,102.4,5.4,14.3,63.0,117.5,19.4,8.8,320.8,25.3,216.7,41.2,27.1,165.1,66.0,231.9,385.9,2.6,5.2,1.7,2.4,87.6,292.2,266.5,0.9,279.2,211.9,,443.9,39.8,167.1,3926.8
58,2020-07-29,163.5,2.0,31.9,105.4,6.2,101.9,5.4,14.6,61.6,111.9,17.3,8.9,323.9,28.8,211.4,40.5,27.7,163.9,60.3,215.5,384.8,2.6,5.2,1.7,2.4,88.3,291.2,273.8,1.0,268.2,197.2,,388.7,37.8,152.5,3805.2
59,2020-07-30,167.1,1.7,30.2,103.2,5.5,108.1,5.5,14.7,63.4,101.7,16.8,8.7,322.8,30.1,170.0,39.0,27.6,161.2,59.7,219.0,386.9,2.7,5.2,1.7,2.5,89.7,230.1,260.7,1.0,266.1,208.3,,399.3,37.7,164.9,3720.1
60,2020-07-31,170.5,1.5,31.9,105.6,5.7,109.7,5.5,14.4,63.1,105.7,17.6,8.4,316.8,30.7,182.8,43.6,27.3,164.8,58.7,226.8,383.9,2.6,5.2,1.6,2.2,91.0,244.8,244.7,1.0,274.3,215.3,,403.8,38.7,172.3,3780.2
61,2020-08-01,161.1,1.4,32.6,109.6,5.0,105.9,5.3,14.1,62.3,98.5,17.2,8.7,311.9,30.0,187.1,40.5,27.5,156.6,59.4,226.5,378.9,2.6,5.0,1.6,2.2,90.4,239.6,242.9,0.9,258.2,200.6,,406.7,37.6,168.6,3704.599999999999
62,2020-08-02,155.1,1.7,34.3,115.1,4.9,107.0,4.9,13.6,64.2,101.6,17.1,9.0,311.3,28.9,186.2,41.5,27.4,140.7,54.6,222.8,374.7,2.8,5.1,1.6,2.3,88.1,234.7,242.0,0.9,219.5,187.8,,415.3,37.7,172.3,3633.2
63,2023-09-04,205.4,3.2,48.9,134.6,7.3,109.1,,,73.7,135.8,,13.8,507.4,35.6,262.6,52.7,35.8,221.8,81.3,320.4,566.3,2.8,5.2,2.0,3.3,105.5,317.7,371.6,1.4,326.8,191.6,6.2,559.9,49.6,199.2,5029.3
64,2023-09-05,199.7,3.2,48.0,143.0,7.3,108.8,,,73.6,141.3,,14.0,506.6,34.9,263.1,48.8,36.1,223.3,80.2,298.0,579.3,2.8,5.1,2.1,3.3,105.7,310.6,365.2,1.4,333.3,170.9,6.2,559.8,49.4,200.9,4999.899999999999
65,2023-09-06,201.0,3.1,48.1,133.8,7.3,109.3,,,74.2,138.6,,14.0,485.9,35.8,261.2,51.9,35.8,219.6,78.7,258.3,584.6,2.8,5.2,1.8,3.1,108.5,330.6,350.6,1.3,339.8,173.8,6.0,527.8,51.4,208.6,4925.400000000001
66,2023-09-07,204.0,2.9,46.9,135.0,6.8,106.4,,,75.0,130.1,,13.8,410.9,35.9,256.2,52.4,35.7,223.3,77.3,247.6,536.8,2.6,5.0,1.6,2.7,105.5,333.8,346.4,1.2,336.9,183.9,5.4,522.6,51.0,201.6,4769.800000000001
67,2023-09-08,209.0,3.0,44.1,123.5,7.5,105.3,,,73.6,127.0,,13.8,400.8,36.0,254.7,52.4,34.6,233.3,77.5,235.0,511.2,2.5,5.4,2.0,2.9,117.4,340.0,345.8,1.3,341.1,196.4,6.0,467.5,46.8,189.6,4681.000000000001
68,2023-09-09,221.6,2.9,46.2,124.8,6.9,109.2,,,76.4,113.1,,13.6,423.9,35.0,241.9,48.6,34.2,228.8,77.0,231.3,510.6,2.7,5.7,2.0,2.9,122.6,338.9,340.8,1.1,352.2,203.3,5.9,396.6,47.0,196.9,4638.4
69,2023-09-10,216.0,3.2,43.6,139.9,6.0,112.5,,,76.9,96.6,,13.1,423.3,32.9,201.7,51.2,40.0,218.5,70.2,226.5,495.7,2.7,5.6,1.8,2.9,133.9,338.1,335.0,0.8,325.9,195.0,5.8,366.3,38.1,199.3,4490.3
70,2017-12-18,162.1,2.2,22.5,65.3,3.5,74.5,7.0,17.3,65.4,65.1,11.5,8.8,304.8,26.8,117.6,40.6,24.6,197.9,64.9,229.6,411.2,2.5,5.4,1.6,2.3,68.1,94.2,198.4,1.7,279.5,165.2,,283.4,35.6,100.3,3167.9000000000005
71,2017-12-19,160.0,2.1,23.4,66.1,3.5,71.3,4.9,17.2,68.4,65.4,11.0,7.8,303.6,27.1,123.2,44.1,24.2,198.9,64.5,231.5,406.8,2.5,6.5,1.7,2.3,66.6,98.3,204.4,1.4,286.8,164.5,,287.5,36.2,101.0,3191.3999999999996
72,2017-12-20,157.5,2.0,23.0,66.0,3.5,70.2,6.2,17.3,68.0,66.6,10.8,8.8,301.8,25.3,125.2,43.8,24.0,201.2,66.7,234.1,411.2,2.4,6.5,1.8,2.4,64.0,102.9,207.1,1.5,288.3,165.1,,293.4,36.5,102.8,3213.6000000000004
73,2017-12-21,160.7,2.1,22.6,64.0,3.5,72.2,6.4,17.5,68.2,65.9,10.1,9.2,305.1,27.0,125.8,43.1,24.4,203.1,67.2,229.7,412.1,2.4,6.4,1.6,2.3,66.7,102.7,208.9,1.4,288.2,167.5,,292.6,35.6,101.7,3224.3999999999996
74,2017-12-22,161.5,1.9,22.3,66.8,3.5,73.5,7.1,17.2,68.1,66.8,10.5,9.2,308.3,27.8,125.9,43.6,24.7,206.1,67.9,230.2,410.0,2.6,6.6,1.6,2.3,65.4,104.5,206.1,1.6,285.0,166.1,,295.4,36.1,100.8,3233.6000000000004
75,2017-12-23,162.1,2.2,22.8,62.1,3.3,71.2,6.4,17.1,67.8,62.2,11.3,9.4,306.1,27.8,125.9,44.5,23.8,201.4,66.4,231.9,407.7,2.8,6.1,1.8,2.6,73.9,100.5,208.3,1.5,281.8,163.8,,289.0,35.1,95.9,3203.2000000000003
76,2017-12-24,156.0,2.3,22.8,63.9,3.0,71.4,6.7,17.2,67.3,59.8,10.3,9.4,298.5,26.4,117.7,42.4,22.7,190.1,60.4,229.0,397.0,2.6,6.7,1.7,2.2,74.1,101.6,206.7,1.4,265.1,157.4,,285.6,36.2,90.8,3112.2999999999997
77,2021-02-15,192.6,2.3,24.3,84.7,3.4,99.3,7.2,19.8,65.9,61.6,18.3,10.8,355.4,31.7,129.2,54.4,26.0,244.2,75.3,273.3,481.5,2.9,4.8,1.7,2.2,87.7,123.1,264.9,1.5,297.7,246.2,,283.1,38.5,129.8,3752.7
78,2021-02-16,194.6,2.3,24.0,88.1,3.4,91.9,7.6,19.9,66.2,62.7,18.1,10.6,354.6,32.0,132.8,52.8,24.9,247.3,77.7,249.6,488.0,2.5,4.9,1.8,2.1,82.2,126.8,263.5,1.5,309.6,246.4,,279.1,38.8,129.6,3745.1
79,2021-02-17,193.4,2.2,24.8,85.6,3.3,85.0,7.7,20.0,66.3,62.1,18.5,10.6,352.8,32.8,132.7,51.4,25.3,249.1,77.8,237.1,480.2,2.4,6.7,1.7,2.0,73.6,125.5,264.0,1.4,312.9,249.3,,282.8,39.6,125.8,3713.400000000001
80,2021-02-18,193.8,2.3,24.7,83.0,3.2,87.1,7.7,20.0,66.2,62.5,19.1,10.3,356.1,32.6,133.8,53.3,24.5,245.5,78.4,245.2,450.4,2.3,6.4,1.5,2.2,76.4,124.9,259.7,1.4,313.6,247.2,,283.1,39.3,130.3,3695.1
81,2021-02-19,191.4,2.4,24.4,81.6,3.3,88.1,7.8,19.7,66.6,64.7,18.2,9.5,359.5,32.9,133.8,53.5,23.7,219.9,77.9,245.9,410.1,2.4,6.5,1.9,2.1,77.6,126.0,262.3,1.5,319.9,235.1,,290.0,40.0,134.5,3642.4
82,2021-02-20,177.0,2.4,24.3,80.2,3.2,91.6,7.6,19.5,67.3,59.5,18.7,9.5,358.9,32.2,131.2,52.6,25.2,208.3,77.2,249.5,443.0,2.6,6.5,1.6,2.2,76.9,126.0,261.1,1.5,296.3,234.4,,285.7,39.2,132.7,3613.2999999999993
83,2021-02-21,166.1,2.3,23.5,84.4,2.9,93.9,7.0,19.5,65.1,58.4,18.2,8.6,343.2,28.9,120.2,52.2,23.8,189.4,69.2,251.1,442.2,2.5,6.5,1.5,2.2,76.0,121.5,257.1,1.3,261.3,234.8,,281.9,35.5,122.8,3481.1
84,2022-03-14,215.5,2.3,26.3,85.0,3.2,106.8,7.7,20.1,72.4,63.9,16.7,12.9,386.8,32.4,130.5,55.5,25.4,268.1,84.2,277.2,563.9,2.8,6.6,1.6,2.3,110.4,129.9,269.3,1.7,315.9,263.0,,315.1,36.5,133.4,4052.6
85,2022-03-15,220.2,2.3,26.5,87.9,3.1,107.3,8.0,20.2,76.4,65.6,16.8,13.7,394.0,31.8,139.2,56.2,26.6,269.5,85.2,265.3,566.2,2.9,6.7,1.5,2.4,103.0,144.7,269.2,1.7,323.1,263.2,,317.5,37.9,137.3,4101.099999999999
86,2022-03-16,222.8,2.3,28.0,88.5,3.1,107.4,8.1,20.5,72.7,63.3,17.0,13.5,390.1,31.3,141.8,54.1,27.6,276.4,86.6,261.0,559.2,3.0,6.7,1.8,2.4,102.9,153.4,260.1,1.7,329.4,266.7,,324.5,38.1,139.4,4113.5
87,2022-03-17,224.6,2.4,28.4,89.2,3.1,109.8,7.8,20.3,72.8,65.8,16.7,14.6,389.0,30.7,138.9,56.0,27.0,280.0,86.7,247.5,560.9,2.9,6.6,1.8,2.6,110.2,152.4,260.7,1.7,335.0,269.2,,326.8,38.5,139.7,4128.700000000001
88,2022-03-18,222.3,2.3,28.3,89.0,3.1,110.4,8.0,20.7,72.5,67.0,16.6,14.6,402.2,31.0,141.3,55.2,29.0,284.6,87.3,264.7,556.7,2.8,6.6,1.9,2.6,111.1,152.6,261.3,1.7,343.2,260.0,,331.2,37.5,142.6,4170.400000000001
89,2022-03-19,216.2,2.4,28.1,90.7,3.1,106.9,8.1,20.4,73.2,63.8,17.4,14.1,398.7,30.4,138.0,54.5,30.1,279.7,87.5,268.2,549.4,2.7,6.5,1.9,2.2,112.6,150.1,266.6,1.5,343.9,254.0,,334.7,36.6,143.8,4146.299999999999
