,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
2013-01-06,5.531411248715415,0.9555114450274363,3.104586678466073,3.735285826928092,1.5686159179138452,4.115779842942166,1.916922612182061,4.204692619390966,2.772588722239781,4.046553898385752,2.174751721484161,2.2617630984737906,5.479388141440339,4.619073091157083,3.254242968705492,3.703768066607687,2.990719731730447,5.17953383055807,4.074141854904581,5.895779296973574,0.9162907318741551,1.8562979903656263,0.6931471805599453,5.1065513509260825,0.9555114450274363,4.242764567340374,1.8870696490323797,4.566429357671661,5.262690188904886,0.9932517730102833,5.543222409643759,4.856706811803519,1.2809338454620642,5.420534999272286,3.543853682063679,4.686750172980514,7.953915707647822
2013-01-07,5.556441886757492,0.9932517730102833,3.100092288878234,3.703768066607687,1.5686159179138452,4.178992036282385,1.916922612182061,4.222444564849416,2.7788192719904172,4.109233174715851,2.174751721484161,2.186051276738094,5.454893673590133,4.709530201312334,3.2846635654062037,3.728100167267218,3.0819099697950434,5.196838197598183,4.087655574071304,5.9050893313612365,0.9555114450274363,1.840549633397487,0.7884573603642702,5.146331009550155,0.9555114450274363,4.155753190350744,1.8718021769015913,4.541164856012179,5.267342562248606,1.0296194171811583,5.573294066502264,4.869071729774468,1.2809338454620642,5.394081988532416,3.5610460826040513,4.678420647727684,7.964746642959145
2013-01-08,5.571012696691494,0.9555114450274363,3.0633909220278057,3.6938669956249757,1.589235205116581,4.1588830833596715,1.9315214116032138,4.215086179918229,2.785011242238338,4.115779842942166,2.186051276738094,2.151762203259462,5.495527535835742,4.709530201312334,3.288401887516811,3.7232808808312687,3.1612467120315646,5.206750173022546,4.089332020398556,5.902633333401366,0.9555114450274363,1.7578579175523736,0.832909122935104,5.19351225218191,0.9555114450274363,4.197201947661808,1.916922612182061,4.552823705615882,5.288771953704505,1.0296194171811583,5.551407994230199,4.8895969657192,1.1314021114911006,5.479388141440339,3.5524868292083815,4.653007515402251,7.980707820869669
2013-01-09,5.568344503761097,0.9555114450274363,3.109060958860994,3.7013019741124933,1.547562508716013,4.189654742026425,1.916922612182061,4.225372824628505,2.785011242238338,4.110873864173311,2.1972245773362196,2.186051276738094,5.502481951264444,4.685828089005546,3.2809112157876537,3.6584202466292277,3.1354942159291497,5.211669559822364,4.104294893075269,5.906178952825622,0.9555114450274363,1.8082887711792655,0.6931471805599453,5.192401140956488,0.9555114450274363,4.215086179918229,1.9315214116032138,4.511957804265912,5.291292751611072,1.0647107369924282,5.5436137225033795,4.912654885736052,1.308332819650179,5.43851399704132,3.517497837358316,4.670021158307708,7.976973085240792
2013-01-10,5.564520407322694,0.9555114450274363,3.095577608523707,3.7062280924485496,1.5686159179138452,4.212127597878484,1.9315214116032138,4.231203744939298,2.766319109226186,4.092676505121403,2.1972245773362196,2.174751721484161,5.504518197131935,4.735320870453137,3.295836866004329,3.742420221041966,3.1484533605716547,5.225208894727398,4.115779842942166,5.887491956725004,0.9555114450274363,1.8562979903656263,0.6931471805599453,5.178407069875479,0.9555114450274363,4.290459441148391,1.9315214116032138,4.548599834499697,5.302807271820889,1.0647107369924282,5.546348633370026,4.875197323201151,1.4350845252893227,5.418320158942733,3.594568774642695,4.666265285347902,7.9799551436984135
2013-01-11,5.543222409643759,0.9162907318741551,3.086486636822455,3.563882963939251,1.5260563034950494,4.178992036282385,1.916922612182061,4.2017030805426,2.7536607123542622,4.069026754237811,2.2192034840549946,2.1400661634962708,5.487697287709437,4.742320024135325,3.258096538021482,3.7495040759303713,3.1135153092103742,5.218191322068752,4.102643365036796,5.8766147054290405,0.9555114450274363,1.7749523509116738,0.6931471805599453,5.141078590121546,0.9555114450274363,4.23410650459726,1.9315214116032138,4.575741375297279,5.290789100127245,1.0986122886681098,5.550242719287699,4.890349128221754,1.308332819650179,5.411199523604709,3.5380565643793527,4.685828089005546,7.96689882373988
2013-01-12,5.554508771908447,0.9555114450274363,3.054001181677967,3.711130063048756,1.4816045409242156,4.191168746857641,1.916922612182061,4.138361447638875,2.760009940032921,4.036008985209137,2.2407096892759584,2.0412203288596382,5.46763811116474,4.695010889987881,3.214867803470662,3.7612001156935624,3.095577608523707,5.172754143572691,4.019980146933238,5.867034468729805,0.9932517730102833,1.8082887711792655,0.6931471805599453,5.146331009550155,0.9162907318741551,4.26689632742025,1.916922612182061,4.56954300834494,5.280153395920365,0.9162907318741551,5.520660597691477,4.882044059723269,1.3862943611198906,5.409858741280944,3.5085558999826545,4.593097604753822,7.9513128219011024
2013-01-13,5.130216632753467,1.161592657014086,3.17777205874421,4.319739432693254,1.6145493817485008,4.386017769807852,2.0272004298341453,4.27118453496415,2.8997058372992464,4.1818871345991155,2.4584599997730168,2.392672990052872,5.744168217448878,4.822466067980253,3.417715015614603,3.934257952396919,3.259846989756665,5.355015512361492,4.235992393455965,6.07486160076762,1.306407335277487,1.9568314832122273,0.9841156617963319,5.461030672171342,1.1433837690649042,4.335008698113374,,4.730145955307532,5.467968541222462,0.9966728289784211,5.620427942559296,5.212051748292491,,5.660498476009687,3.6762916624516526,4.763058660567692,8.121276726786956
2013-01-14,5.130216632753467,1.161592657014086,3.17777205874421,4.319739432693254,1.6145493817485008,4.386017769807852,2.0272004298341453,4.27118453496415,2.8997058372992464,4.1818871345991155,2.4584599997730168,2.392672990052872,5.744168217448878,4.822466067980253,3.417715015614603,3.934257952396919,3.259846989756665,5.355015512361492,4.235992393455965,6.07486160076762,1.306407335277487,1.9568314832122273,0.9841156617963319,5.461030672171342,1.1433837690649042,4.335008698113374,,4.730145955307532,5.467968541222462,0.9966728289784211,5.620427942559296,5.212051748292491,,5.660498476009687,3.6762916624516526,4.763058660567692,8.121276726786956
2013-01-15,5.130216632753467,1.161592657014086,3.17777205874421,4.319739432693254,1.6145493817485008,4.386017769807852,2.0272004298341453,4.27118453496415,2.8997058372992464,4.1818871345991155,2.4584599997730168,2.392672990052872,5.744168217448878,4.822466067980253,3.417715015614603,3.934257952396919,3.259846989756665,5.355015512361492,4.235992393455965,6.07486160076762,1.306407335277487,1.9568314832122273,0.9841156617963319,5.461030672171342,1.1433837690649042,4.335008698113374,,4.730145955307532,5.467968541222462,0.9966728289784211,5.620427942559296,5.212051748292491,,5.660498476009687,3.6762916624516526,4.763058660567692,8.121276726786956
